order,video_id,Location,Other locations,Activity,Other activities,Activity center,Video description accuracy (1-5),Location not in schema,Activity not in schema
154,154_00820001_2024-04-21_4_cfa002ffc4_processed_048.mp4,,,,,,,,
155,155_00320002_2024-03-22_1_0943c4055a_processed_024.mp4,,,,,,,,
156,156_00420001_2024-05-19_3_7052ee399e_processed_036.mp4,,,,,,,,
157,157_00510002_2024-12-10_3_d599ffc09e_processed_067.mp4,,,,,,,,
158,158_00320002_2024-11-15_1_67744cd4df_processed_006.mp4,,,,,,,,
159,159_00510002_2024-09-30_5_aa7bb8bd39_processed_035.mp4,,,,,,,,
160,160_00400001_2023-07-09_2_26136ae13f_processed_006.mp4,,,,,,,,
161,161_00510001_2024-04-13_3_0aaca1f012_processed_030.mp4,,,,,,,,
162,162_00230001_2024-04-14_1_da1653faac_processed_038.mp4,,,,,,,,
163,163_00240001_2024-03-17_4_e05ee3a929_processed_033.mp4,,,,,,,,
164,164_00510001_2024-08-09_1_a84644d03b_processed_003.mp4,,,,,,,,
165,165_00500001_2024-07-21_3_5b1597de30_processed_004.mp4,,,,,,,,
166,166_00820001_2023-04-30_3_c5472d6fe3_processed_001.mp4,,,,,,,,
167,167_00430001_2023-07-31_1_38499dec62_processed_084.mp4,,,,,,,,
168,168_00560001_2023-09-23_2_6a1a8ea8ff_processed_032.mp4,,,,,,,,
169,169_00370002_2024-09-14_1_3f675ce30b_processed_000.mp4,,,,,,,,
170,170_00320001_2024-04-07_4_a582e11182_processed_029.mp4,,,,,,,,
171,171_00320001_2024-06-16_2_4c946deb70_processed_071.mp4,,,,,,,,
172,172_00240001_2024-07-21_2_b6d06d52d9_processed_015.mp4,,,,,,,,
173,173_00400002_2024-05-19_3_014f720fa7_processed_028.mp4,,,,,,,,
174,174_00400002_2024-11-09_2_b74ece3990_processed_008.mp4,,,,,,,,
175,175_00510002_2024-06-18_1_79724e14fb_processed_061.mp4,,,,,,,,
176,176_00240001_2024-06-24_1_4d5d46940f_processed_012.mp4,,,,,,,,
177,177_00430001_2023-11-17_3_56684c5889_processed_007.mp4,,,,,,,,
178,178_00370001_2024-01-20_3_e8033d7361_processed_081.mp4,,,,,,,,
179,179_00400003_2024-01-20_1_97c73f4087_processed_039.mp4,,,,,,,,
180,180_00320002_2024-03-01_2_6989b3896c_processed_082.mp4,,,,,,,,
181,181_00370002_2024-08-31_4_da39f3287e_processed_004.mp4,,,,,,,,
182,182_00220001_2024-05-17_2_c72760aaa5_processed_013.mp4,,,,,,,,
183,183_00320001_2024-08-17_1_f914520ee2_processed_061.mp4,,,,,,,,
184,184_00560001_2023-07-22_2_bdcee94bb6_processed_019.mp4,,,,,,,,
185,185_00320001_2024-04-07_4_a582e11182_processed_031.mp4,,,,,,,,
186,186_00370002_2024-09-08_2_770c88c758_processed_018.mp4,,,,,,,,
187,187_00320003_2024-09-08_2_d355c33f2a_processed_014.mp4,,,,,,,,
188,188_00400002_2024-05-05_1_e8fb7256fa_processed_034.mp4,,,,,,,,
189,189_00560001_2023-10-08_1_f92b74d84a_processed_037.mp4,,,,,,,,
190,190_00370002_2024-08-19_2_9061ab273d_processed_011.mp4,,,,,,,,
191,191_00320003_2024-11-30_2_4f418ffc9d_processed_065.mp4,,,,,,,,
192,192_00400003_2023-12-28_1_f1948a6b90_processed_068.mp4,,,,,,,,
193,193_00500001_2023-08-14_2_f42326514e_processed_006.mp4,,,,,,,,
194,194_00320002_2024-11-02_2_80301c562e_processed_013.mp4,,,,,,,,
195,195_00720001_2024-03-16_1_d35cc36ed0_processed_056.mp4,,,,,,,,
196,196_00320001_2024-08-24_1_3ea24911d2_processed_053.mp4,,,,,,,,
197,197_00430001_2023-09-07_2_31e67cae01_processed_021.mp4,,,,,,,,
198,198_00400002_2024-05-05_1_b201cb39fa_processed_012.mp4,,,,,,,,
199,199_00560001_2023-05-18_1_5a7659d43f_processed_054.mp4,,,,,,,,
200,200_00420001_2024-10-27_2_7e75c051af_processed_066.mp4,,,,,,,,
201,201_00430001_2024-11-27_2_20fc53a358_processed_050.mp4,,,,,,,,
202,202_00370001_2024-08-04_1_5d5d2c7d86_processed_033.mp4,,,,,,,,
203,203_00510001_2024-04-27_3_6406f81341_processed_025.mp4,,,,,,,,
204,204_00560001_2023-08-12_3_ce3c27701c_processed_028.mp4,,,,,,,,
205,205_00320001_2024-05-01_2_03e793f5d9_processed_069.mp4,,,,,,,,
206,206_00370002_2024-06-02_1_5a57e66e2b_processed_002.mp4,,,,,,,,
207,207_00320003_2024-07-06_3_f043b3913a_processed_001.mp4,,,,,,,,
208,208_00820001_2024-04-21_3_c338b9fa52_processed_070.mp4,,,,,,,,
209,209_00320002_2024-11-15_2_ad6f19df92_processed_020.mp4,,,,,,,,
210,210_00820001_2023-10-22_1_6b65f4e23c_processed_089.mp4,,,,,,,,
211,211_00370002_2024-10-12_3_fef0901057_processed_010.mp4,,,,,,,,
212,212_00240001_2024-12-06_2_170cb8aefb_processed_081.mp4,,,,,,,,
213,213_00400001_2024-01-01_2_630d499fdb_processed_041.mp4,,,,,,,,
214,214_00400001_2023-09-02_2_7f294f3d35_processed_002.mp4,,,,,,,,
215,215_00320003_2024-02-23_1_c4d53d3d1b_processed_008.mp4,,,,,,,,
216,216_00400003_2023-12-13_1_18a07497b4_processed_039.mp4,,,,,,,,
217,217_00360001_2024-09-18_2_04c264cf12_processed_007.mp4,,,,,,,,
218,218_00500001_2023-12-31_2_514c2a17c9_processed_085.mp4,,,,,,,,
219,219_00370002_2024-08-11_3_ef62c695df_processed_046.mp4,,,,,,,,
220,220_00400003_2024-08-18_3_ee3adf368f_processed_017.mp4,,,,,,,,
221,221_00400001_2024-10-27_1_313e69a150_processed_063.mp4,,,,,,,,
222,222_00400003_2024-02-04_3_96e2818186_processed_054.mp4,,,,,,,,
223,223_00420001_2024-06-09_1_941b9b5f1b_processed_031.mp4,,,,,,,,
224,224_00680001_2023-06-10_1_d93f4268c5_processed_069.mp4,,,,,,,,
225,225_00360001_2024-09-18_1_03d3e1e8ed_processed_021.mp4,,,,,,,,
226,226_00500001_2023-11-26_3_b68ff470a9_processed_002.mp4,,,,,,,,
227,227_00400001_2024-03-31_4_fe399c3401_processed_072.mp4,,,,,,,,
228,228_00320003_2024-03-10_2_25af2fcd92_processed_011.mp4,,,,,,,,
229,229_00420001_2024-08-09_4_5f002fb725_processed_010.mp4,,,,,,,,
230,230_00420001_2024-06-08_3_b00906f980_processed_038.mp4,,,,,,,,
231,231_00370002_2024-05-18_3_e23c0133c0_processed_023.mp4,,,,,,,,
232,232_00400002_2024-11-09_2_b74ece3990_processed_085.mp4,,,,,,,,
233,233_00510001_2024-06-16_2_6a7af8d5b7_processed_002.mp4,,,,,,,,
234,234_00560001_2023-11-25_1_89f362f5dc_processed_039.mp4,,,,,,,,
235,235_00400001_2024-02-19_2_09b7dfbef2_processed_072.mp4,,,,,,,,
236,236_00440001_2024-04-07_1_1f391772e4_processed_057.mp4,,,,,,,,
237,237_00320003_2024-07-07_1_1a765e701a_processed_034.mp4,,,,,,,,
238,238_00720001_2024-01-22_3_af6027f6b2_processed_016.mp4,,,,,,,,
239,239_00240001_2024-10-10_1_04f67553b3_processed_059.mp4,,,,,,,,
240,240_00400002_2024-02-12_2_420b00f04b_processed_030.mp4,,,,,,,,
241,241_00240001_2023-12-03_2_57598f4861_processed_066.mp4,,,,,,,,
242,242_00370002_2024-08-24_2_445d2b8563_processed_039.mp4,,,,,,,,
243,243_00220001_2024-09-26_1_a488846f98_processed_052.mp4,,,,,,,,
244,244_00370002_2024-09-29_1_95de44c704_processed_009.mp4,,,,,,,,
245,245_00680001_2023-06-18_2_2e6b5db21e_processed_057.mp4,,,,,,,,
246,246_00680001_2023-05-07_3_6c286ff1e2_processed_046.mp4,,,,,,,,
247,247_00550001_2023-11-20_1_cf99520212_processed_080.mp4,,,,,,,,
248,248_00370002_2024-07-27_3_8aee05255a_processed_051.mp4,,,,,,,,
249,249_00320001_2024-02-13_3_9316ed4830_processed_013.mp4,,,,,,,,
250,250_00500001_2023-11-11_1_b8d379e673_processed_079.mp4,,,,,,,,
251,251_00400001_2023-10-29_1_14174b7f28_processed_051.mp4,,,,,,,,
252,252_00320001_2023-12-10_1_8b01e15e8c_processed_020.mp4,,,,,,,,
253,253_00400002_2024-07-20_1_ed04ddd698_processed_083.mp4,,,,,,,,
254,254_00400001_2023-08-26_2_e3e71c859f_processed_076.mp4,,,,,,,,
255,255_00820001_2024-03-24_2_f557c8c793_processed_034.mp4,,,,,,,,
256,256_00400001_2023-08-22_1_1f9b1cb8a9_processed_082.mp4,,,,,,,,
257,257_00370002_2024-04-26_3_bbdc9ff51f_processed_019.mp4,,,,,,,,
258,258_00240001_2023-12-03_1_1a6d82f04c_processed_091.mp4,,,,,,,,
259,259_00430001_2023-09-28_2_d3115dfc80_processed_013.mp4,,,,,,,,
260,260_00510002_2024-06-17_2_8711827ac7_processed_070.mp4,,,,,,,,
261,261_00680001_2023-05-13_1_cde20c9f07_processed_000.mp4,,,,,,,,
262,262_00400003_2024-08-18_2_4c29737188_processed_074.mp4,,,,,,,,
263,263_00560001_2023-05-01_2_abeb404dfe_processed_066.mp4,,,,,,,,
264,264_00400001_2024-01-07_1_c161168513_processed_043.mp4,,,,,,,,
265,265_00320003_2024-02-23_1_0660fcd05a_processed_088.mp4,,,,,,,,
266,266_00320002_2024-04-10_1_9936c698cd_processed_031.mp4,,,,,,,,
267,267_00400001_2023-12-21_1_91e5b3d981_processed_028.mp4,,,,,,,,
268,268_00680001_2023-06-25_2_c3c5e72f27_processed_070.mp4,,,,,,,,
269,269_00370001_2024-01-13_2_bb57b22e34_processed_032.mp4,,,,,,,,
270,270_00370002_2024-11-10_2_4658c846e2_processed_015.mp4,,,,,,,,
271,271_00240001_2024-03-10_2_628b10e86a_processed_047.mp4,,,,,,,,
272,272_00420001_2024-09-22_1_e5eb1e5411_processed_058.mp4,,,,,,,,
273,273_00400002_2024-06-23_3_1b2351cdfe_processed_055.mp4,,,,,,,,
274,274_00400002_2024-10-19_1_9ec1d2a2ff_processed_029.mp4,,,,,,,,
275,275_00490001_2024-05-22_1_64300bc8b3_processed_082.mp4,,,,,,,,
276,276_00370002_2024-04-26_3_bbdc9ff51f_processed_080.mp4,,,,,,,,
277,277_00820001_2023-06-26_1_c89b73a057_processed_087.mp4,,,,,,,,
278,278_00560001_2023-08-12_2_4081e79aa6_processed_020.mp4,,,,,,,,
279,279_00240001_2024-02-06_2_20a002f62b_processed_031.mp4,,,,,,,,
280,280_00430001_2024-01-13_3_ad2bc1cadc_processed_086.mp4,,,,,,,,
281,281_00320002_2024-02-14_1_6964fbffe9_processed_027.mp4,,,,,,,,
282,282_00820001_2024-04-21_3_66ab0f1e66_processed_053.mp4,,,,,,,,
283,283_00370002_2024-12-14_3_902d00b502_processed_006.mp4,,,,,,,,
284,284_00820001_2023-11-29_3_99f09d7248_processed_004.mp4,,,,,,,,
285,285_00820001_2023-10-06_2_13f3a2c569_processed_024.mp4,,,,,,,,
286,286_00400001_2023-07-19_4_724979921d_processed_040.mp4,,,,,,,,
287,287_00320001_2024-06-29_2_7e2a012a84_processed_025.mp4,,,,,,,,
288,288_00240001_2023-11-10_1_a65cadcc83_processed_017.mp4,,,,,,,,
289,289_00400003_2024-07-14_1_237a0e3e54_processed_016.mp4,,,,,,,,
290,290_00400001_2024-10-09_1_782ac01899_processed_031.mp4,,,,,,,,
291,291_00400001_2023-09-04_4_6f0b41fa3d_processed_008.mp4,,,,,,,,
292,292_00400001_2023-07-18_4_5f143e23aa_processed_048.mp4,,,,,,,,
293,293_00590001_2024-09-08_1_19f18381d5_processed_030.mp4,,,,,,,,
294,294_00560001_2023-05-03_1_eb4e00bcde_processed_022.mp4,,,,,,,,
295,295_00320002_2024-10-20_2_8456b9c758_processed_058.mp4,,,,,,,,
296,296_00230001_2023-11-05_2_9f4ef41020_processed_039.mp4,,,,,,,,
297,297_00500001_2023-12-02_1_8a3f81acb0_processed_035.mp4,,,,,,,,
298,298_00400002_2024-05-19_4_2931340a2f_processed_039.mp4,,,,,,,,
299,299_00400003_2024-01-20_1_97c73f4087_processed_105.mp4,,,,,,,,
300,300_00720001_2023-06-25_3_4a917f6ae5_processed_055.mp4,,,,,,,,
301,301_00420001_2024-04-29_3_956f79d9d4_processed_035.mp4,,,,,,,,
302,302_00320003_2024-10-12_2_e8388876c3_processed_011.mp4,,,,,,,,
303,303_00560001_2023-07-08_2_cb1da28d0c_processed_003.mp4,,,,,,,,
304,304_00680001_2023-06-18_3_cc74c8e1c1_processed_020.mp4,,,,,,,,
305,305_00320002_2024-08-31_1_14df422801_processed_048.mp4,,,,,,,,
306,306_00220001_2024-07-15_2_04bb2d9a2a_processed_038.mp4,,,,,,,,
307,307_00400003_2024-08-08_1_e762135709_processed_004.mp4,,,,,,,,
308,308_00460001_2024-03-11_3_9f8c89e01c_processed_027.mp4,,,,,,,,
309,309_00510002_2024-09-04_3_7fc16356bf_processed_016.mp4,,,,,,,,
310,310_00680001_2023-06-10_3_beb6c2bab5_processed_018.mp4,,,,,,,,
311,311_00500001_2023-12-21_1_8fe0d9998d_processed_070.mp4,,,,,,,,
312,312_00370002_2024-06-15_1_4d45f0f9ed_processed_038.mp4,,,,,,,,
313,313_00400001_2023-07-01_3_6820814b81_processed_013.mp4,,,,,,,,
314,314_00820001_2023-11-08_1_a7df0752c8_processed_062.mp4,,,,,,,,
315,315_00400003_2024-03-07_3_da5c57d830_processed_059.mp4,,,,,,,,
316,316_00400002_2023-12-28_1_18c24075e8_processed_102.mp4,,,,,,,,
317,317_00490001_2024-03-20_2_64dc5b2681_processed_047.mp4,,,,,,,,
318,318_00400001_2023-07-19_2_2810d108e4_processed_020.mp4,,,,,,,,
319,319_00320001_2024-09-15_1_abbaf85eb5_processed_038.mp4,,,,,,,,
320,320_00400002_2024-05-26_3_c315a0b348_processed_008.mp4,,,,,,,,
321,321_00490001_2024-01-27_4_7e151394ff_processed_039.mp4,,,,,,,,
322,322_00420001_2024-09-22_1_e5eb1e5411_processed_063.mp4,,,,,,,,
323,323_00320001_2024-05-25_2_a9ce01c2a9_processed_069.mp4,,,,,,,,
324,324_00720001_2023-06-25_3_4a917f6ae5_processed_023.mp4,,,,,,,,
325,325_00400002_2024-02-20_1_f56d803c3d_processed_004.mp4,,,,,,,,
326,326_00820001_2024-03-24_1_575afd8ff6_processed_014.mp4,,,,,,,,
327,327_00370002_2024-06-15_2_65cde941fb_processed_033.mp4,,,,,,,,
328,328_00430001_2023-12-05_1_edf2e4f030_processed_010.mp4,,,,,,,,
329,329_00320003_2024-02-21_1_af0c66f02e_processed_071.mp4,,,,,,,,
330,330_00820001_2023-12-19_2_5ed57aefdf_processed_053.mp4,,,,,,,,
331,331_00680001_2023-06-18_3_cc74c8e1c1_processed_003.mp4,,,,,,,,
332,332_00560001_2023-07-08_2_cb1da28d0c_processed_008.mp4,,,,,,,,
333,333_00370002_2024-11-10_1_8a48aa7c68_processed_023.mp4,,,,,,,,
334,334_00400001_2024-08-20_1_17cca6b136_processed_082.mp4,,,,,,,,
335,335_00320003_2024-02-21_3_8ae280bf0b_processed_010.mp4,,,,,,,,
336,336_00400001_NA_2_c4c826b347_processed_063.mp4,,,,,,,,
337,337_00430001_2024-04-13_3_95258e304f_processed_025.mp4,,,,,,,,
338,338_00320001_2024-07-21_1_f699c91a3f_processed_002.mp4,,,,,,,,
339,339_00320001_2024-10-13_2_d5be1afa50_processed_063.mp4,,,,,,,,
340,340_00390001_2024-08-12_1_bc42dc3009_processed_061.mp4,,,,,,,,
341,341_00400002_2024-05-19_3_014f720fa7_processed_078.mp4,,,,,,,,
342,342_00820001_2023-04-30_1_b43e370e3f_processed_065.mp4,,,,,,,,
343,343_00370001_2024-04-18_1_858af4ff03_processed_012.mp4,,,,,,,,
344,344_00560001_2023-05-28_1_ed45a7d063_processed_001.mp4,,,,,,,,
345,345_00370002_2024-06-15_1_4d45f0f9ed_processed_065.mp4,,,,,,,,
346,346_00400002_2024-01-04_2_a9a6f1f1f9_processed_073.mp4,,,,,,,,
347,347_00320001_2024-02-23_2_b9b9b6bd6f_processed_065.mp4,,,,,,,,
348,348_00500001_2023-11-14_1_b333d20845_processed_000.mp4,,,,,,,,
349,349_00370002_2024-05-12_3_0820f7d968_processed_024.mp4,,,,,,,,
350,350_00420001_2024-05-12_3_e46377f6d7_processed_002.mp4,,,,,,,,